start,end,rate
26/01/2017,01/03/2017,0.1
02/03/2017,12/04/2017,0.1
13/04/2017,01/06/2017,0.1
01/06/2017,12/07/2017,0.1
02/06/2017,12/07/2017,0.1
13/07/2017,31/08/2017,0.1
31/08/2017,18/10/2017,0.1
01/09/2017,22/10/2017,0.1
19/10/2017,29/11/2017,0.1
23/10/2017,29/11/2017,0.1
30/11/2017,13/01/2018,0.1
11/01/2018,28/02/2018,0.1
14/01/2018,01/03/2018,0.1
01/03/2018,11/04/2018,0.1
02/03/2018,19/04/2018,0.1
12/04/2018,30/05/2018,0.1
20/04/2018,30/05/2018,0.1
31/05/2018,11/07/2018,0.1
12/07/2018,01/09/2018,0.1
30/08/2018,10/10/2018,0.1
02/09/2018,10/10/2018,0.1
11/10/2018,28/11/2018,0.1
29/11/2018,09/01/2019,0.25
10/01/2019,27/02/2019,0.25
28/02/2019,10/04/2019,0.25
11/04/2019,22/05/2019,0.25
23/05/2019,10/07/2019,0.25
11/07/2019,31/08/2019,0.25
29/08/2019,09/10/2019,0.25
01/09/2019,10/10/2019,0.25
10/10/2019,27/11/2019,0.25
11/10/2019,27/11/2019,0.25
28/11/2019,12/01/2020,0.25
09/01/2020,26/02/2020,0.25
13/01/2020,26/02/2020,0.25
27/02/2020,09/04/2020,0.25
02/04/2020,27/05/2020,0.12
10/04/2020,27/05/2020,0.1
28/05/2020,08/07/2020,0.1
09/07/2020,26/08/2020,0.1
27/08/2020,25/10/2020,0.1
22/10/2020,02/12/2020,0.1
26/10/2020,02/12/2020,0.1
03/12/2020,06/01/2021,0.1
07/01/2021,24/02/2021,0.1
25/02/2021,21/04/2021,0.1
22/04/2021,02/06/2021,0.1
03/06/2021,07/07/2021,0.1
08/07/2021,25/08/2021,0.1
26/08/2021,10/10/2021,0.1
07/10/2021,24/11/2021,0.1
11/10/2021,24/11/2021,0.1
25/11/2021,05/01/2022,0.1
06/01/2022,23/02/2022,0.1
24/02/2022,13/04/2022,0.1
14/04/2022,25/05/2022,0.35
26/05/2022,06/07/2022,0.75
07/07/2022,24/08/2022,1.25
25/08/2022,08/10/2022,2.0
06/10/2022,23/11/2022,2.75
09/10/2022,23/11/2022,2.75
24/11/2022,04/01/2023,3.25
05/01/2023,22/02/2023,3.75
23/02/2023,06/04/2023,4.25
07/04/2023,24/05/2023,4.5
25/05/2023,12/07/2023,4.75
13/07/2023,06/09/2023,4.75
07/09/2023,25/10/2023,4.75
26/10/2023,29/11/2023,4.75
30/11/2023,03/01/2024,4.75
04/01/2024,28/02/2024,4.5
29/02/2024,10/04/2024,4.5
11/04/2024,29/05/2024,4.5
30/05/2024,10/07/2024,4.5
11/07/2024,31/08/2024,4.5
01/09/2024,13/10/2024,4.5
14/10/2024,27/11/2024,4.5
28/11/2024,08/01/2025,4.5
09/01/2025,26/02/2025,4.5
27/02/2025,09/04/2025,4.5
10/04/2025,28/05/2025,4.5
29/05/2025,09/07/2025,4.5
10/07/2025,23/08/2025,4.5
24/08/2025,04/10/2025,4.5
05/10/2025,26/11/2025,4.5
27/11/2025,07/01/2026,4.25
08/01/2026,,4.0
